"Stage","MatrixStartYear","N","MatrixPopulation"
"Seedling","1995",12,"Wilderness State Park"
"Juvenile","1995",12,"Wilderness State Park"
"Vegetative","1995",109,"Wilderness State Park"
"Reproductive","1995",12,"Wilderness State Park"
"Seedling","1996",13,"Wilderness State Park"
"Juvenile","1996",24,"Wilderness State Park"
"Vegetative","1996",117,"Wilderness State Park"
"Reproductive","1996",32,"Wilderness State Park"
"Seedling","1997",42,"Wilderness State Park"
"Juvenile","1997",8,"Wilderness State Park"
"Vegetative","1997",92,"Wilderness State Park"
"Reproductive","1997",24,"Wilderness State Park"
"Seedling","1998",73,"Wilderness State Park"
"Juvenile","1998",10,"Wilderness State Park"
"Vegetative","1998",99,"Wilderness State Park"
"Reproductive","1998",16,"Wilderness State Park"
"Seedling","1999",63,"Wilderness State Park"
"Juvenile","1999",31,"Wilderness State Park"
"Vegetative","1999",104,"Wilderness State Park"
"Reproductive","1999",23,"Wilderness State Park"
"Seedling","2000",55,"Wilderness State Park"
"Juvenile","2000",11,"Wilderness State Park"
"Vegetative","2000",99,"Wilderness State Park"
"Reproductive","2000",25,"Wilderness State Park"
"Seedling","2005",59,"Wilderness State Park"
"Juvenile","2005",90,"Wilderness State Park"
"Vegetative","2005",514,"Wilderness State Park"
"Reproductive","2005",26,"Wilderness State Park"
"Seedling","2006",20,"Wilderness State Park"
"Juvenile","2006",44,"Wilderness State Park"
"Vegetative","2006",539,"Wilderness State Park"
"Reproductive","2006",92,"Wilderness State Park"
"Seedling","2007",151,"Wilderness State Park"
"Juvenile","2007",27,"Wilderness State Park"
"Vegetative","2007",395,"Wilderness State Park"
"Reproductive","2007",106,"Wilderness State Park"
"Seedling","2008",378,"Wilderness State Park"
"Juvenile","2008",35,"Wilderness State Park"
"Vegetative","2008",400,"Wilderness State Park"
"Reproductive","2008",132,"Wilderness State Park"
"Seedling","2009",182,"Wilderness State Park"
"Juvenile","2009",108,"Wilderness State Park"
"Vegetative","2009",413,"Wilderness State Park"
"Reproductive","2009",77,"Wilderness State Park"
"Seedling","2010",245,"Wilderness State Park"
"Juvenile","2010",75,"Wilderness State Park"
"Vegetative","2010",392,"Wilderness State Park"
"Reproductive","2010",45,"Wilderness State Park"
"Seedling","2011",354,"Wilderness State Park"
"Juvenile","2011",73,"Wilderness State Park"
"Vegetative","2011",373,"Wilderness State Park"
"Reproductive","2011",59,"Wilderness State Park"
"Seedling","2012",49,"Wilderness State Park"
"Juvenile","2012",103,"Wilderness State Park"
"Vegetative","2012",379,"Wilderness State Park"
"Reproductive","2012",33,"Wilderness State Park"
